Asset_ID,Hostname,IP_Address,Operating_System,Business_Owner,Environment,Severity,QID,CVE,Vulnerability_Title,CVSS_v3_Score,First_Detected,Last_Detected,Days_Open,Patch_Available,Exploit_Available,Threat_Intel_Flag,Risk_Score,Status,Remediation_Action,Due_Date,Scanner_Source
SRV-1016,WEB-UAT-0016,10.129.236.219,RHEL 9,David Walsh,Production,Medium,366248,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-07-30,2026-08-05,16,Yes,Yes,High,707,Mitigated,Apply vendor patch,2026-09-28,Qualys
SRV-1017,APP-PRODUCTION-0017,10.159.21.108,Ubuntu 22.04,Laura Smith,Dev,High,236716,CVE-2023-3519,Citrix ADC RCE,9.8,2026-07-15,2026-07-16,31,Yes,No,High,1000,In Progress,Configuration fix,2026-08-24,Qualys
SRV-1018,WEB-PRODUCTION-0018,10.118.160.145,Windows Server 2016,Sarah OBrien,UAT,High,365229,CVE-2021-44228,Log4Shell,10.0,2026-04-19,2026-08-05,118,Yes,Yes,Medium,1000,Open,Deploy KB update,2026-09-08,Qualys
SRV-1019,API-PRODUCTION-0019,10.171.210.142,Windows Server 2022,Sarah OBrien,UAT,Critical,238656,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-03-28,2026-07-24,140,Yes,Yes,Low,968,Mitigated,Deploy KB update,2026-09-02,Qualys
SRV-1020,DB-UAT-0020,10.65.232.233,Windows Server 2016,Sarah OBrien,Test,High,245060,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-05-19,2026-08-09,88,Yes,Yes,Medium,1000,Open,Upgrade package,2026-08-26,Qualys
SRV-1021,WEB-PRODUCTION-0021,10.242.227.177,Windows Server 2019,Sean Kelly,Production,High,293575,CVE-2021-44228,Log4Shell,10.0,2026-04-27,2026-07-29,110,Yes,No,High,951,Open,Upgrade package,2026-09-08,Qualys
SRV-1022,APP-PRODUCTION-0022,10.91.200.144,RHEL 8,Laura Smith,UAT,Medium,224118,CVE-2023-3519,Citrix ADC RCE,9.8,2026-08-04,2026-08-10,11,Yes,Yes,Medium,956,Open,Deploy KB update,2026-10-02,Qualys
SRV-1023,APP-UAT-0023,10.41.202.180,Windows Server 2016,Patrick Doyle,Production,Medium,346777,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-05-01,2026-07-21,106,Yes,Yes,Medium,1000,In Progress,Upgrade package,2026-10-07,Qualys
SRV-1024,APP-UAT-0024,10.85.72.222,Windows Server 2016,Michael Byrne,Dev,Medium,367075,CVE-2023-3519,Citrix ADC RCE,9.8,2026-06-18,2026-08-15,58,No,No,High,1000,Open,Upgrade package,2026-08-27,Qualys
SRV-1025,API-UAT-0025,10.89.187.202,Windows Server 2022,Patrick Doyle,Production,Medium,301953,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-06-08,2026-08-14,68,Yes,No,High,713,Mitigated,Configuration fix,2026-08-16,Qualys
SRV-1026,APP-UAT-0026,10.111.18.243,Ubuntu 22.04,Aoife Ryan,Dev,Medium,165339,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-03-30,2026-07-25,138,Yes,No,Low,792,In Progress,Upgrade package,2026-09-10,Qualys
SRV-1027,FILE-PRODUCTION-0027,10.158.146.78,RHEL 8,Sean Kelly,Production,High,259317,CVE-2021-44228,Log4Shell,10.0,2026-07-13,2026-08-09,33,Yes,Yes,Medium,1000,Mitigated,Upgrade package,2026-09-14,Qualys
SRV-1028,APP-PRODUCTION-0028,10.73.132.170,Ubuntu 22.04,Laura Smith,Dev,High,148961,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-06-21,2026-07-30,55,Yes,No,High,890,Open,Deploy KB update,2026-08-17,Qualys
SRV-1029,WEB-UAT-0029,10.107.227.162,RHEL 9,Emma Kelly,Test,High,359196,CVE-2020-1472,Zerologon,10.0,2026-04-15,2026-07-27,122,No,Yes,High,1000,Mitigated,Apply vendor patch,2026-10-12,Qualys
SRV-1030,APP-PRODUCTION-0030,10.206.246.179,RHEL 9,Niamh Murphy,Production,Medium,392241,CVE-2023-3519,Citrix ADC RCE,9.8,2026-07-18,2026-07-22,28,Yes,Yes,Medium,984,Open,Configuration fix,2026-09-27,Qualys
SRV-1031,FILE-UAT-0031,10.213.233.141,RHEL 8,David Walsh,Test,Medium,335966,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-03-15,2026-08-05,153,Yes,Yes,Low,796,In Progress,Configuration fix,2026-09-25,Qualys
SRV-1032,DB-UAT-0032,10.82.229.139,Windows Server 2016,David Walsh,UAT,High,221247,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-07-26,2026-08-06,20,No,Yes,Low,890,Open,Apply vendor patch,2026-09-11,Qualys
SRV-1033,APP-UAT-0033,10.100.232.198,RHEL 9,John Murphy,Test,High,350074,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-04-17,2026-08-02,120,Yes,No,Medium,837,In Progress,Configuration fix,2026-09-19,Qualys
SRV-1034,FILE-PRODUCTION-0034,10.70.112.125,Windows Server 2016,Patrick Doyle,Dev,Medium,311978,CVE-2021-44228,Log4Shell,10.0,2026-03-13,2026-07-18,155,Yes,No,High,978,Mitigated,Apply vendor patch,2026-10-13,Qualys
SRV-1035,FILE-PRODUCTION-0035,10.222.119.47,Windows Server 2016,Michael Byrne,Test,High,271627,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-02-26,2026-08-15,170,Yes,No,Medium,840,In Progress,Configuration fix,2026-09-02,Qualys
SRV-1036,FILE-PRODUCTION-0036,10.192.139.14,Windows Server 2022,Emma Kelly,Production,Medium,121106,CVE-2023-3519,Citrix ADC RCE,9.8,2026-04-29,2026-08-07,108,Yes,Yes,High,940,Open,Deploy KB update,2026-08-31,Qualys
SRV-1037,FILE-UAT-0037,10.197.95.43,RHEL 9,Laura Smith,Production,High,185860,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-07-16,2026-07-28,30,Yes,Yes,Low,887,Open,Upgrade package,2026-09-21,Qualys
SRV-1038,APP-PRODUCTION-0038,10.152.177.213,Ubuntu 22.04,Emma Kelly,Production,Medium,258116,CVE-2021-44228,Log4Shell,10.0,2026-05-10,2026-08-03,97,Yes,Yes,Medium,1000,Mitigated,Configuration fix,2026-09-27,Qualys
SRV-1039,FILE-UAT-0039,10.28.111.246,Windows Server 2022,Niamh Murphy,UAT,Critical,328320,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-03-02,2026-08-05,166,Yes,No,Low,931,Mitigated,Configuration fix,2026-09-14,Qualys
SRV-1040,APP-PRODUCTION-0040,10.72.226.116,Windows Server 2019,Niamh Murphy,Test,Medium,276368,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-03-16,2026-08-07,152,Yes,No,Medium,871,Open,Configuration fix,2026-08-29,Qualys
SRV-1041,DB-PRODUCTION-0041,10.133.243.49,Windows Server 2016,Emma Kelly,Test,Medium,356155,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-05-19,2026-08-07,88,Yes,No,Low,1000,Mitigated,Configuration fix,2026-09-13,Qualys
SRV-1042,APP-UAT-0042,10.170.149.95,RHEL 8,Sean Kelly,Dev,Critical,323086,CVE-2023-3519,Citrix ADC RCE,9.8,2026-05-31,2026-08-08,76,Yes,No,Low,981,In Progress,Upgrade package,2026-09-04,Qualys
SRV-1043,API-PRODUCTION-0043,10.50.56.190,RHEL 8,Michael Byrne,Dev,High,152704,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-06-26,2026-08-05,50,Yes,No,High,945,In Progress,Deploy KB update,2026-09-04,Qualys
SRV-1044,WEB-UAT-0044,10.179.242.33,Ubuntu 22.04,Niamh Murphy,Production,Medium,106430,CVE-2020-1472,Zerologon,10.0,2026-07-13,2026-08-07,33,Yes,No,Medium,955,In Progress,Upgrade package,2026-08-27,Qualys
SRV-1045,FILE-UAT-0045,10.19.148.162,Ubuntu 22.04,John Murphy,UAT,High,178222,CVE-2020-1472,Zerologon,10.0,2026-04-14,2026-08-12,123,Yes,Yes,High,958,Open,Configuration fix,2026-09-23,Qualys
SRV-1046,FILE-UAT-0046,10.233.114.77,RHEL 9,Patrick Doyle,Dev,Medium,398125,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-06-18,2026-07-22,58,Yes,Yes,High,766,Mitigated,Deploy KB update,2026-09-01,Qualys
SRV-1047,WEB-PRODUCTION-0047,10.1.105.116,Ubuntu 22.04,Laura Smith,Test,Critical,252703,CVE-2021-44228,Log4Shell,10.0,2026-06-14,2026-08-10,62,Yes,Yes,Medium,1000,Mitigated,Upgrade package,2026-09-29,Qualys
SRV-1048,API-PRODUCTION-0048,10.109.30.140,Windows Server 2019,David Walsh,Dev,High,174572,CVE-2023-3519,Citrix ADC RCE,9.8,2026-02-20,2026-08-08,176,Yes,Yes,High,963,In Progress,Upgrade package,2026-09-13,Qualys
SRV-1049,DB-UAT-0049,10.113.21.154,Windows Server 2016,Patrick Doyle,Dev,High,231264,CVE-2020-1472,Zerologon,10.0,2026-05-29,2026-07-24,78,Yes,Yes,High,1000,Mitigated,Apply vendor patch,2026-10-03,Qualys
SRV-1050,APP-UAT-0050,10.133.167.114,Windows Server 2022,David Walsh,Test,Medium,357805,CVE-2021-44228,Log4Shell,10.0,2026-03-20,2026-08-14,148,Yes,No,Medium,1000,In Progress,Upgrade package,2026-09-05,Qualys
SRV-1051,FILE-UAT-0051,10.170.242.103,RHEL 9,John Murphy,Test,Critical,146168,CVE-2021-44228,Log4Shell,10.0,2026-07-04,2026-08-05,42,Yes,No,Medium,1000,Open,Configuration fix,2026-10-10,Qualys
SRV-1052,WEB-PRODUCTION-0052,10.133.93.160,RHEL 8,Niamh Murphy,Production,Medium,206723,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-08-14,2026-08-14,1,Yes,Yes,Medium,752,In Progress,Configuration fix,2026-08-23,Qualys
SRV-1053,APP-UAT-0053,10.142.4.142,RHEL 8,Sarah OBrien,UAT,Medium,159486,CVE-2020-1472,Zerologon,10.0,2026-03-12,2026-07-21,156,No,Yes,Low,980,Open,Configuration fix,2026-10-14,Qualys
SRV-1054,FILE-PRODUCTION-0054,10.117.142.38,RHEL 8,Emma Kelly,UAT,High,136600,CVE-2021-44228,Log4Shell,10.0,2026-06-06,2026-08-02,70,Yes,No,Medium,1000,Mitigated,Upgrade package,2026-10-07,Qualys
SRV-1055,API-UAT-0055,10.222.39.115,RHEL 9,Niamh Murphy,Dev,High,274294,CVE-2020-1472,Zerologon,10.0,2026-05-30,2026-07-20,77,No,No,Medium,1000,Open,Deploy KB update,2026-09-21,Qualys
SRV-1056,FILE-UAT-0056,10.99.170.203,Ubuntu 22.04,David Walsh,Test,High,119408,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-05-01,2026-08-14,106,Yes,No,High,870,In Progress,Apply vendor patch,2026-09-18,Qualys
SRV-1057,APP-PRODUCTION-0057,10.121.201.249,Windows Server 2022,Aoife Ryan,Test,Critical,142108,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-07-09,2026-08-02,37,Yes,No,Medium,913,Mitigated,Configuration fix,2026-10-10,Qualys
SRV-1058,DB-PRODUCTION-0058,10.192.24.112,Windows Server 2016,Sarah OBrien,Test,Critical,187223,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-07-28,2026-08-08,18,Yes,Yes,High,780,In Progress,Apply vendor patch,2026-09-03,Qualys
SRV-1059,FILE-PRODUCTION-0059,10.44.45.21,RHEL 9,Patrick Doyle,UAT,High,360920,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-07-08,2026-08-08,38,Yes,Yes,Medium,997,Mitigated,Upgrade package,2026-09-14,Qualys
SRV-1060,API-PRODUCTION-0060,10.19.114.242,Windows Server 2022,Laura Smith,Dev,Medium,322460,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-04-17,2026-07-18,120,Yes,No,Medium,966,Open,Configuration fix,2026-10-09,Qualys
SRV-1061,API-UAT-0061,10.180.76.6,Ubuntu 22.04,Patrick Doyle,Dev,Critical,104245,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-05-09,2026-07-28,98,Yes,No,Medium,875,Open,Upgrade package,2026-08-30,Qualys
SRV-1062,APP-PRODUCTION-0062,10.232.161.166,Windows Server 2016,Michael Byrne,Test,Critical,117492,CVE-2021-44228,Log4Shell,10.0,2026-06-11,2026-07-25,65,Yes,Yes,High,1000,In Progress,Upgrade package,2026-10-02,Qualys
SRV-1063,DB-UAT-0063,10.213.43.66,RHEL 8,Michael Byrne,Dev,Critical,160382,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-07-12,2026-07-21,34,No,Yes,High,899,Open,Configuration fix,2026-10-09,Qualys
SRV-1064,DB-PRODUCTION-0064,10.117.95.173,Ubuntu 22.04,Michael Byrne,Test,High,294759,CVE-2023-3519,Citrix ADC RCE,9.8,2026-07-22,2026-08-03,24,Yes,Yes,Medium,931,Open,Upgrade package,2026-10-13,Qualys
SRV-1065,DB-UAT-0065,10.30.36.12,Windows Server 2016,Michael Byrne,Test,High,160880,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-07-29,2026-08-01,17,Yes,Yes,Low,789,Open,Configuration fix,2026-09-14,Qualys
SRV-1066,FILE-PRODUCTION-0066,10.227.107.168,Windows Server 2016,Niamh Murphy,Test,Medium,246664,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-02-17,2026-07-16,179,Yes,No,High,999,In Progress,Configuration fix,2026-08-31,Qualys
SRV-1067,DB-PRODUCTION-0067,10.102.71.49,Windows Server 2016,Niamh Murphy,Production,High,211204,CVE-2023-3519,Citrix ADC RCE,9.8,2026-02-20,2026-08-04,176,Yes,Yes,Medium,999,Open,Deploy KB update,2026-10-05,Qualys
SRV-1068,APP-PRODUCTION-0068,10.85.199.38,RHEL 9,John Murphy,Dev,High,175858,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-03-26,2026-08-09,142,Yes,No,High,775,Open,Apply vendor patch,2026-08-24,Qualys
SRV-1069,WEB-PRODUCTION-0069,10.68.14.33,Ubuntu 22.04,Patrick Doyle,Production,High,133322,CVE-2020-1472,Zerologon,10.0,2026-06-15,2026-07-28,61,No,No,Medium,991,Mitigated,Apply vendor patch,2026-09-13,Qualys
SRV-1070,API-UAT-0070,10.118.165.247,Windows Server 2016,John Murphy,Test,High,310563,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-03-10,2026-08-14,158,No,Yes,Medium,793,Mitigated,Configuration fix,2026-08-20,Qualys
SRV-1071,DB-UAT-0071,10.98.153.136,Windows Server 2022,Niamh Murphy,Test,High,151998,CVE-2020-1472,Zerologon,10.0,2026-07-08,2026-08-13,38,Yes,Yes,Medium,966,In Progress,Deploy KB update,2026-09-11,Qualys
SRV-1072,WEB-UAT-0072,10.110.81.171,Windows Server 2022,Aoife Ryan,UAT,Medium,348652,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-05-04,2026-08-02,103,Yes,Yes,High,1000,Open,Configuration fix,2026-08-22,Qualys
SRV-1073,API-UAT-0073,10.172.32.106,Windows Server 2022,Patrick Doyle,Production,Medium,250800,CVE-2021-44228,Log4Shell,10.0,2026-07-12,2026-07-29,34,Yes,No,High,957,Mitigated,Deploy KB update,2026-08-25,Qualys
SRV-1074,DB-PRODUCTION-0074,10.196.72.147,Windows Server 2019,Patrick Doyle,Production,High,240219,CVE-2021-44228,Log4Shell,10.0,2026-07-18,2026-08-04,28,Yes,Yes,Medium,1000,Mitigated,Upgrade package,2026-10-13,Qualys
SRV-1075,API-UAT-0075,10.18.37.190,Ubuntu 22.04,John Murphy,Production,High,378125,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-06-29,2026-07-19,47,Yes,No,Medium,948,In Progress,Upgrade package,2026-08-26,Qualys
SRV-1076,API-PRODUCTION-0076,10.227.14.40,Windows Server 2019,Laura Smith,Production,High,142772,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-05-23,2026-07-22,84,Yes,No,Low,1000,In Progress,Configuration fix,2026-09-23,Qualys
SRV-1077,WEB-UAT-0077,10.111.29.73,Ubuntu 22.04,Laura Smith,Test,High,376265,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-06-20,2026-07-22,56,Yes,Yes,High,895,In Progress,Apply vendor patch,2026-08-16,Qualys
SRV-1078,DB-UAT-0078,10.84.31.2,RHEL 8,Patrick Doyle,UAT,High,167730,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-06-21,2026-07-22,55,No,Yes,Low,877,Mitigated,Upgrade package,2026-08-20,Qualys
SRV-1079,FILE-PRODUCTION-0079,10.221.81.148,RHEL 8,Laura Smith,Test,Medium,318991,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-08-04,2026-08-09,11,Yes,Yes,Medium,832,Open,Upgrade package,2026-08-26,Qualys
SRV-1080,DB-PRODUCTION-0080,10.112.217.28,Windows Server 2019,Patrick Doyle,Test,Medium,374707,CVE-2023-3519,Citrix ADC RCE,9.8,2026-04-19,2026-07-20,118,Yes,No,Medium,1000,Mitigated,Upgrade package,2026-08-30,Qualys
SRV-1081,WEB-PRODUCTION-0081,10.232.199.90,Windows Server 2022,David Walsh,UAT,Medium,153899,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-07-26,2026-07-30,20,Yes,No,High,1000,Open,Deploy KB update,2026-10-03,Qualys
SRV-1082,FILE-UAT-0082,10.194.145.195,RHEL 9,Niamh Murphy,Dev,Medium,265747,CVE-2023-3519,Citrix ADC RCE,9.8,2026-06-30,2026-07-16,46,Yes,No,High,1000,In Progress,Configuration fix,2026-09-25,Qualys
SRV-1083,API-PRODUCTION-0083,10.80.119.116,Windows Server 2016,John Murphy,Dev,Medium,250511,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-03-16,2026-08-14,152,Yes,Yes,Low,975,Mitigated,Configuration fix,2026-09-14,Qualys
SRV-1084,APP-UAT-0084,10.155.122.129,Windows Server 2019,John Murphy,Test,High,154264,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-08-04,2026-08-08,11,Yes,Yes,Low,773,Mitigated,Deploy KB update,2026-08-18,Qualys
SRV-1085,API-PRODUCTION-0085,10.94.96.235,Windows Server 2022,Patrick Doyle,Test,Medium,277401,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-04-24,2026-07-30,113,Yes,No,High,926,In Progress,Apply vendor patch,2026-09-20,Qualys
SRV-1086,API-PRODUCTION-0086,10.86.21.150,Ubuntu 22.04,David Walsh,Dev,High,262650,CVE-2021-44228,Log4Shell,10.0,2026-06-11,2026-07-23,65,No,Yes,Low,1000,Mitigated,Apply vendor patch,2026-09-04,Qualys
SRV-1087,API-PRODUCTION-0087,10.166.172.109,RHEL 9,Aoife Ryan,Production,High,290105,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-05-22,2026-07-20,85,Yes,Yes,High,716,In Progress,Configuration fix,2026-08-28,Qualys
SRV-1088,WEB-PRODUCTION-0088,10.170.87.225,RHEL 9,David Walsh,Test,Medium,180872,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-07-06,2026-08-13,40,Yes,Yes,Low,897,Mitigated,Deploy KB update,2026-10-01,Qualys
SRV-1089,APP-UAT-0089,10.157.73.193,Ubuntu 22.04,Niamh Murphy,UAT,Critical,379975,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-05-13,2026-07-25,94,Yes,No,Medium,922,Open,Upgrade package,2026-09-28,Qualys
SRV-1090,FILE-UAT-0090,10.248.42.210,Windows Server 2019,Laura Smith,UAT,Medium,231073,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-04-18,2026-07-22,119,Yes,No,Medium,736,Mitigated,Apply vendor patch,2026-09-30,Qualys
SRV-1091,APP-UAT-0091,10.116.232.132,Windows Server 2019,Patrick Doyle,Production,High,216411,CVE-2023-3519,Citrix ADC RCE,9.8,2026-07-14,2026-08-06,32,No,No,High,940,In Progress,Apply vendor patch,2026-09-10,Qualys
SRV-1092,APP-PRODUCTION-0092,10.82.239.26,Ubuntu 22.04,Aoife Ryan,UAT,High,172141,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-05-08,2026-08-13,99,Yes,No,Medium,747,Mitigated,Deploy KB update,2026-10-03,Qualys
SRV-1093,WEB-UAT-0093,10.56.214.39,RHEL 9,Laura Smith,Test,High,158293,CVE-2021-44228,Log4Shell,10.0,2026-03-10,2026-08-15,158,Yes,Yes,Medium,960,Open,Apply vendor patch,2026-08-31,Qualys
SRV-1094,WEB-UAT-0094,10.153.138.5,Ubuntu 22.04,Sean Kelly,UAT,High,175275,CVE-2024-3094,XZ Utils Backdoor Risk,8.8,2026-03-08,2026-08-01,160,Yes,No,High,838,Mitigated,Upgrade package,2026-08-31,Qualys
SRV-1095,API-UAT-0095,10.18.245.135,RHEL 9,Sean Kelly,Production,High,304710,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-02-25,2026-07-25,171,No,Yes,Low,710,In Progress,Upgrade package,2026-09-01,Qualys
SRV-1096,WEB-UAT-0096,10.35.12.91,RHEL 9,Aoife Ryan,UAT,Critical,343596,CVE-2021-44228,Log4Shell,10.0,2026-07-28,2026-08-04,18,No,Yes,High,980,Open,Configuration fix,2026-08-18,Qualys
SRV-1097,DB-UAT-0097,10.132.102.254,RHEL 9,Niamh Murphy,Dev,High,119199,CVE-2024-4577,PHP CGI Argument Injection RCE,9.8,2026-06-24,2026-07-18,52,Yes,No,Medium,935,Open,Upgrade package,2026-09-02,Qualys
SRV-1098,FILE-UAT-0098,10.87.250.48,RHEL 8,Niamh Murphy,Dev,Medium,372250,CVE-2020-1472,Zerologon,10.0,2026-04-25,2026-07-18,112,Yes,Yes,Low,1000,In Progress,Apply vendor patch,2026-09-12,Qualys
SRV-1099,DB-PRODUCTION-0099,10.21.84.170,Windows Server 2022,Michael Byrne,Test,Medium,323407,CVE-2023-44487,HTTP/2 Rapid Reset DoS,7.5,2026-06-29,2026-07-29,47,Yes,No,Medium,737,In Progress,Apply vendor patch,2026-10-01,Qualys
SRV-1100,WEB-PRODUCTION-0100,10.172.164.104,Windows Server 2022,Sean Kelly,UAT,Medium,116326,CVE-2023-3519,Citrix ADC RCE,9.8,2026-03-10,2026-08-02,158,Yes,No,High,965,Open,Apply vendor patch,2026-08-31,Qualys
SRV-1101,WEB-PRODUCTION-0101,10.174.116.243,Windows Server 2022,Aoife Ryan,Test,High,140310,CVE-2023-3519,Citrix ADC RCE,9.8,2026-05-14,2026-08-03,93,Yes,No,Medium,1000,In Progress,Upgrade package,2026-08-31,Qualys
SRV-1102,FILE-PRODUCTION-0102,10.68.199.67,Ubuntu 22.04,Niamh Murphy,UAT,Critical,249724,CVE-2020-1472,Zerologon,10.0,2026-06-28,2026-07-31,48,No,Yes,High,1000,Open,Apply vendor patch,2026-09-13,Qualys
SRV-1103,DB-UAT-0103,10.182.17.141,RHEL 9,Michael Byrne,Dev,Medium,182578,CVE-2023-23397,Outlook Privilege Escalation,9.1,2026-04-23,2026-08-13,114,Yes,No,Low,947,Open,Apply vendor patch,2026-08-28,Qualys
